year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",0,.0527582,-.0964842,.0913345,.4047082
2016,"ss","value",0,.0755009,-.1606973,.1043945,.452688
2017,"ss","value",0,.0685846,-.154375,.1150177,.4898569
2018,"ss","value",0,.0741059,-.1663112,.1313385,.5439752
2019,"ss","value",0,.0758765,-.1634099,.1356659,.5908411
2020,"ss","value",0,.0874307,-.1616729,.1499573,.6357951
2021,"ss","value",0,.0760064,-.0902655,.1627564,.6857845
2022,"ss","value",0,.1132269,-.1393507,.185022,.7193935
2023,"ss","value",0,.1214307,-.1199408,.2035401,.7588283
2024,"ss","value",0,.1350824,-.1099424,.2167926,.8046947
2025,"ss","value",0,.1198487,-.0626942,.2303988,.8440318
2026,"ss","value",0,.1319326,-.0851527,.25,.8832209
2027,"ss","value",0,.1433283,-.0947334,.27,.9260995
2028,"ss","value",0,.1252482,-.0536224,.2737382,.983
2029,"ss","value",0,.1029867,-.0181209,.2793244,1.043
2030,"ss","value",0,.0968737,-.0022144,.296344,1.103
2031,"ss","value",0,.0995021,.0165003,.3052537,1.173
2032,"ss","value",0,.1264713,-.0024454,.3230438,1.233
2033,"ss","value",0,.1132003,.0132574,.34,1.303
2034,"ss","value",0,.1377103,-.0098351,.3436951,1.363
2035,"ss","value",0,.1319949,.0086728,.3410126,1.443
2036,"ss","value",0,.121146,.0215698,.3475724,1.513
2037,"ss","value",0,.1220816,.0231431,.3653474,1.593
2038,"ss","value",0,.1518139,.0074338,.3843217,1.663
2039,"ss","value",0,.172144,.0000781,.4037126,1.733
2040,"ss","value",0,.1737166,.001779,.4052308,1.813
2041,"ss","value",0,.1836884,.0004007,.4187425,1.893
2042,"ss","value",0,.1914745,.0085759,.4325287,1.983
2043,"ss","value",0,.1819886,.0242638,.46,2.073
2044,"ss","value",0,.1746901,.0355566,.47,2.173
2045,"ss","value",0,.1760269,.040989,.48,2.273
2046,"ss","value",0,.163778,.0560249,.49,2.353
2047,"ss","value",0,.1654402,.0586498,.5,2.443
2048,"ss","value",0,.1600546,.0656847,.51,2.533
2049,"ss","value",0,.1623576,.0707664,.52,2.623
2050,"ss","value",0,.1583584,.0780762,.53,2.703
2051,"ss","value",0,.1616383,.0839411,.54,2.783
2052,"ss","value",0,.1742467,.0783998,.55,2.863
2053,"ss","value",0,.182798,.0805362,.56,2.983
2054,"ss","value",0,.1839407,.0835279,.57,3.083
2055,"ss","value",0,.1874826,.0862434,.58,3.173
2056,"ss","value",0,.1744703,.0932448,.59,3.273
2057,"ss","value",0,.1699153,.1000516,.59,3.373
2058,"ss","value",0,.1695426,.1046238,.6,3.463
2059,"ss","value",0,.1741416,.1077459,.61,3.583
2060,"ss","value",0,.1838184,.1061953,.61,3.713
2061,"ss","value",0,.1856086,.1101253,.62,3.803
2062,"ss","value",0,.1936881,.1104377,.63,3.903
2063,"ss","value",0,.1838461,.1147501,.63,3.993
2064,"ss","value",0,.1926098,.1131126,.64,4.123
2065,"ss","value",0,.1855824,.1199037,.64,4.263
2066,"ss","value",0,.1801124,.1258731,.65,4.423
2067,"ss","value",0,.1887891,.1249877,.65,4.603
2068,"ss","value",0,.2001209,.1236133,.66,4.753
2069,"ss","value",0,.1782589,.1340372,.66,4.863
2070,"ss","value",0,.1741799,.1391566,.66,4.983
2071,"ss","value",0,.1827748,.1361983,.67,5.093
2072,"ss","value",0,.1862286,.1373404,.67,5.203
2073,"ss","value",0,.1849381,.1407805,.67,5.313
2074,"ss","value",0,.1835352,.1442352,.67,5.423
2075,"ss","value",0,.1780416,.1496776,.68,5.553
2076,"ss","value",0,.1882281,.1491524,.68,5.703
2077,"ss","value",0,.1852994,.1538855,.68,5.863
2078,"ss","value",0,.1824829,.1601445,.68,6.043
2079,"ss","value",0,.1834702,.1624882,.68,6.243
2080,"ss","value",0,.1745881,.1664763,.68,6.403
2081,"ss","value",0,.158819,.1764793,.68,6.573
2082,"ss","value",0,.152064,.1806991,.68,6.723
2083,"ss","value",0,.1305561,.1874593,.68,6.883
2084,"ss","value",0,.133599,.1902307,.68,7.033
2085,"ss","value",0,.136604,.1912976,.68,7.183
2086,"ss","value",0,.1304136,.1933654,.68,7.303
2087,"ss","value",0,.1212435,.198553,.68,7.433
2088,"ss","value",0,.1266459,.2005427,.69,7.553
2089,"ss","value",0,.1249689,.202707,.69,7.773
2090,"ss","value",0,.1200475,.2081435,.69,7.902999
2091,"ss","value",0,.112702,.2128794,.69,8.033
2092,"ss","value",0,.1151338,.2140128,.69,8.163
2093,"ss","value",0,.102142,.2200346,.69,8.283
2094,"ss","value",0,.1020353,.2223915,.69,8.403
2095,"ss","value",0,.103638,.2227216,.69,8.513
2096,"ss","value",0,.1153514,.2229534,.69,8.653
2097,"ss","value",0,.1125194,.2269148,.69,8.873
2098,"ss","value",0,.1205772,.2252213,.69,9.073
2099,"ss","value",0,.1187198,.226971,.69,9.243
2100,"ss","value",0,-.1872218,.262782,0,11
2101,"ss","value",0,-.1882169,.2649839,0,11
2102,"ss","value",0,-.189212,.2671857,0,11
2103,"ss","value",0,-.1902071,.2693875,0,11
2104,"ss","value",0,-.1912022,.2715894,0,11
2105,"ss","value",0,-.1921973,.2737912,0,11
2106,"ss","value",0,-.1931924,.275993,0,11
2107,"ss","value",0,-.1941875,.2781948,0,11
2108,"ss","value",0,-.1951826,.2803967,0,11
2109,"ss","value",0,-.1961777,.2825985,0,11
2110,"ss","value",0,-.1971728,.2848003,0,11
2111,"ss","value",0,-.1981679,.2870022,0,11
2112,"ss","value",0,-.199163,.289204,0,11
2113,"ss","value",0,-.2001581,.2914058,0,11
2114,"ss","value",0,-.2011532,.2936077,0,11
2115,"ss","value",0,-.2021483,.2958095,0,11
2116,"ss","value",0,-.2031434,.2980113,0,11
2117,"ss","value",0,-.2041385,.3002131,0,11
2118,"ss","value",0,-.2051336,.302415,0,11
2119,"ss","value",0,-.2061287,.3046168,0,11
2120,"ss","value",0,-.2071238,.3068186,0,11
2121,"ss","value",0,-.2081189,.3090205,0,11
2122,"ss","value",0,-.209114,.3112223,0,11
2123,"ss","value",0,-.2101091,.3134241,0,11
2124,"ss","value",0,-.2111042,.3156259,0,11
2125,"ss","value",0,-.2120993,.3178278,0,11
2126,"ss","value",0,-.2130944,.3200296,0,11
