,discrate,year,rcp,variable,pulse,damages
0,1.0,2020.0,rcp45,nocons_betas_SSP3,pulse,0.002746110195146458
1,1.0,2020.0,rcp85,nocons_betas_SSP3,pulse,-0.00018073648993875713
2,1.0,2021.0,rcp45,nocons_betas_SSP3,pulse,0.008663085995338556
3,1.0,2021.0,rcp85,nocons_betas_SSP3,pulse,0.0056123101168336085
4,1.0,2022.0,rcp45,nocons_betas_SSP3,pulse,0.012735240453848407
5,1.0,2022.0,rcp85,nocons_betas_SSP3,pulse,0.006299552659803044
6,1.0,2023.0,rcp45,nocons_betas_SSP3,pulse,0.018565421478570366
7,1.0,2023.0,rcp85,nocons_betas_SSP3,pulse,0.011654495160378609
8,1.0,2024.0,rcp45,nocons_betas_SSP3,pulse,0.02496308491892991
9,1.0,2024.0,rcp85,nocons_betas_SSP3,pulse,0.01750295402801872
10,1.0,2025.0,rcp45,nocons_betas_SSP3,pulse,0.030790054743637746
11,1.0,2025.0,rcp85,nocons_betas_SSP3,pulse,0.02581402276011787
12,1.0,2026.0,rcp45,nocons_betas_SSP3,pulse,0.028364823022080744
13,1.0,2026.0,rcp85,nocons_betas_SSP3,pulse,0.021103577475774498
14,1.0,2027.0,rcp45,nocons_betas_SSP3,pulse,0.028902917499614385
15,1.0,2027.0,rcp85,nocons_betas_SSP3,pulse,0.020178483956120673
16,1.0,2028.0,rcp45,nocons_betas_SSP3,pulse,0.03353756932521174
17,1.0,2028.0,rcp85,nocons_betas_SSP3,pulse,0.02801224708930667
18,1.0,2029.0,rcp45,nocons_betas_SSP3,pulse,0.03546343050927765
19,1.0,2029.0,rcp85,nocons_betas_SSP3,pulse,0.0331410579385687
20,1.0,2030.0,rcp45,nocons_betas_SSP3,pulse,0.03779393447294872
21,1.0,2030.0,rcp85,nocons_betas_SSP3,pulse,0.037003133469973325
22,1.0,2031.0,rcp45,nocons_betas_SSP3,pulse,0.04477332950312344
23,1.0,2031.0,rcp85,nocons_betas_SSP3,pulse,0.04593937871009662
24,1.0,2032.0,rcp45,nocons_betas_SSP3,pulse,0.04786533582788943
25,1.0,2032.0,rcp85,nocons_betas_SSP3,pulse,0.04679216997035723
26,1.0,2033.0,rcp45,nocons_betas_SSP3,pulse,0.04774403062783798
27,1.0,2033.0,rcp85,nocons_betas_SSP3,pulse,0.04857350967749604
28,1.0,2034.0,rcp45,nocons_betas_SSP3,pulse,0.04749209175841331
29,1.0,2034.0,rcp85,nocons_betas_SSP3,pulse,0.04533294852254881
30,1.0,2035.0,rcp45,nocons_betas_SSP3,pulse,0.05163354212986694
31,1.0,2035.0,rcp85,nocons_betas_SSP3,pulse,0.05182766196689752
32,1.0,2036.0,rcp45,nocons_betas_SSP3,pulse,0.05219956221794657
33,1.0,2036.0,rcp85,nocons_betas_SSP3,pulse,0.05424201191911432
34,1.0,2037.0,rcp45,nocons_betas_SSP3,pulse,0.05260109809125381
35,1.0,2037.0,rcp85,nocons_betas_SSP3,pulse,0.05495623250645508
36,1.0,2038.0,rcp45,nocons_betas_SSP3,pulse,0.05571620420839548
37,1.0,2038.0,rcp85,nocons_betas_SSP3,pulse,0.055614248518399856
38,1.0,2039.0,rcp45,nocons_betas_SSP3,pulse,0.058628811762325546
39,1.0,2039.0,rcp85,nocons_betas_SSP3,pulse,0.05722462339189179
40,1.0,2040.0,rcp45,nocons_betas_SSP3,pulse,0.05888664590737402
41,1.0,2040.0,rcp85,nocons_betas_SSP3,pulse,0.05769054877354163
42,1.0,2041.0,rcp45,nocons_betas_SSP3,pulse,0.06059998559974752
43,1.0,2041.0,rcp85,nocons_betas_SSP3,pulse,0.059041639099396304
44,1.0,2042.0,rcp45,nocons_betas_SSP3,pulse,0.06566874799078146
45,1.0,2042.0,rcp85,nocons_betas_SSP3,pulse,0.06539878974160022
46,1.0,2043.0,rcp45,nocons_betas_SSP3,pulse,0.06852459889462546
47,1.0,2043.0,rcp85,nocons_betas_SSP3,pulse,0.07115258120203227
48,1.0,2044.0,rcp45,nocons_betas_SSP3,pulse,0.07040835667732971
49,1.0,2044.0,rcp85,nocons_betas_SSP3,pulse,0.07529566003187782
50,1.0,2045.0,rcp45,nocons_betas_SSP3,pulse,0.07266474949639883
51,1.0,2045.0,rcp85,nocons_betas_SSP3,pulse,0.07873733261558621
52,1.0,2046.0,rcp45,nocons_betas_SSP3,pulse,0.07533764213739184
53,1.0,2046.0,rcp85,nocons_betas_SSP3,pulse,0.08470608511824775
54,1.0,2047.0,rcp45,nocons_betas_SSP3,pulse,0.07684097572907024
55,1.0,2047.0,rcp85,nocons_betas_SSP3,pulse,0.08700409600055815
56,1.0,2048.0,rcp45,nocons_betas_SSP3,pulse,0.07834488488917427
57,1.0,2048.0,rcp85,nocons_betas_SSP3,pulse,0.09034142641269635
58,1.0,2049.0,rcp45,nocons_betas_SSP3,pulse,0.08110845426664075
59,1.0,2049.0,rcp85,nocons_betas_SSP3,pulse,0.0945193781193245
60,1.0,2050.0,rcp45,nocons_betas_SSP3,pulse,0.08296382366207938
61,1.0,2050.0,rcp85,nocons_betas_SSP3,pulse,0.09843017903371303
62,1.0,2051.0,rcp45,nocons_betas_SSP3,pulse,0.08615093199842291
63,1.0,2051.0,rcp85,nocons_betas_SSP3,pulse,0.10335026337131646
64,1.0,2052.0,rcp45,nocons_betas_SSP3,pulse,0.08634348489923169
65,1.0,2052.0,rcp85,nocons_betas_SSP3,pulse,0.10253974814070915
66,1.0,2053.0,rcp45,nocons_betas_SSP3,pulse,0.08903015473416541
67,1.0,2053.0,rcp85,nocons_betas_SSP3,pulse,0.10605431715065212
68,1.0,2054.0,rcp45,nocons_betas_SSP3,pulse,0.09015078382259303
69,1.0,2054.0,rcp85,nocons_betas_SSP3,pulse,0.10833240952866073
70,1.0,2055.0,rcp45,nocons_betas_SSP3,pulse,0.09194342992771827
71,1.0,2055.0,rcp85,nocons_betas_SSP3,pulse,0.11120206554737054
72,1.0,2056.0,rcp45,nocons_betas_SSP3,pulse,0.0916240289138063
73,1.0,2056.0,rcp85,nocons_betas_SSP3,pulse,0.11334289812884418
74,1.0,2057.0,rcp45,nocons_betas_SSP3,pulse,0.09350413602326076
75,1.0,2057.0,rcp85,nocons_betas_SSP3,pulse,0.11759507322881894
76,1.0,2058.0,rcp45,nocons_betas_SSP3,pulse,0.09541159321933276
77,1.0,2058.0,rcp85,nocons_betas_SSP3,pulse,0.12127855980636501
78,1.0,2059.0,rcp45,nocons_betas_SSP3,pulse,0.09786292100003062
79,1.0,2059.0,rcp85,nocons_betas_SSP3,pulse,0.12506862117679832
80,1.0,2060.0,rcp45,nocons_betas_SSP3,pulse,0.09904117185977927
81,1.0,2060.0,rcp85,nocons_betas_SSP3,pulse,0.12620482064372998
82,1.0,2061.0,rcp45,nocons_betas_SSP3,pulse,0.10081922314419921
83,1.0,2061.0,rcp85,nocons_betas_SSP3,pulse,0.12964739883105028
84,1.0,2062.0,rcp45,nocons_betas_SSP3,pulse,0.10224548561029274
85,1.0,2062.0,rcp85,nocons_betas_SSP3,pulse,0.13159058579826616
86,1.0,2063.0,rcp45,nocons_betas_SSP3,pulse,0.10129783338533835
87,1.0,2063.0,rcp85,nocons_betas_SSP3,pulse,0.13268856573159227
88,1.0,2064.0,rcp45,nocons_betas_SSP3,pulse,0.10192883477934377
89,1.0,2064.0,rcp85,nocons_betas_SSP3,pulse,0.13321778440131057
90,1.0,2065.0,rcp45,nocons_betas_SSP3,pulse,0.10304060207631609
91,1.0,2065.0,rcp85,nocons_betas_SSP3,pulse,0.13714197553468568
92,1.0,2066.0,rcp45,nocons_betas_SSP3,pulse,0.104381860881897
93,1.0,2066.0,rcp85,nocons_betas_SSP3,pulse,0.14104969503303683
94,1.0,2067.0,rcp45,nocons_betas_SSP3,pulse,0.10577580559018492
95,1.0,2067.0,rcp85,nocons_betas_SSP3,pulse,0.14252873717947476
96,1.0,2068.0,rcp45,nocons_betas_SSP3,pulse,0.10750667454481706
97,1.0,2068.0,rcp85,nocons_betas_SSP3,pulse,0.1440907934208452
98,1.0,2069.0,rcp45,nocons_betas_SSP3,pulse,0.10747105685908098
99,1.0,2069.0,rcp85,nocons_betas_SSP3,pulse,0.14852759159891335
