temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
-19.2,2,6.16713975887e-07,2.95940731121e-06,0,0,0,2,6.16713975887e-07,2.95940731121e-06
-17.3,3,.000019691965008,8.50203696245e-06,3,.000019691965008,8.50203696245e-06,0,0,0
-17.1,1,3.55360816684e-06,1.53427595251e-06,1,3.55360816684e-06,1.53427595251e-06,0,0,0
-15.8,1,1.78047244503e-07,8.54390123095e-07,0,0,0,1,1.78047244503e-07,8.54390123095e-07
-15.3,1,9.11968015771e-07,3.93743619043e-07,1,9.11968015771e-07,3.93743619043e-07,0,0,0
-15,2,9.65700110100e-06,4.16942566517e-06,2,9.65700110100e-06,4.16942566517e-06,0,0,0
-14.3,2,7.50472099753e-06,3.24017514686e-06,2,7.50472099753e-06,3.24017514686e-06,0,0,0
-14,2,4.49137041869e-06,1.93915639102e-06,2,4.49137041869e-06,1.93915639102e-06,0,0,0
-13.9,2,3.16802783118e-07,1.52023233113e-06,0,0,0,2,3.16802783118e-07,1.52023233113e-06
-13.7,1,3.47751119989e-06,1.50142102484e-06,1,3.47751119989e-06,1.50142102484e-06,0,0,0
-13,1,4.85207465317e-07,2.09489101621e-07,1,4.85207465317e-07,2.09489101621e-07,0,0,0
-12.6,3,3.42719977198e-06,1.47969905129e-06,3,3.42719977198e-06,1.47969905129e-06,0,0,0
-12.5,1,7.28666407213e-08,3.49663025645e-07,0,0,0,1,7.28666407213e-08,3.49663025645e-07
-12.4,1,4.34193538013e-07,1.87463754742e-07,1,4.34193538013e-07,1.87463754742e-07,0,0,0
-12.3,2,1.75830223270e-06,7.59149770602e-07,2,1.75830223270e-06,7.59149770602e-07,0,0,0
-11.9,1,5.47235643467e-08,2.62600366341e-07,0,0,0,1,5.47235643467e-08,2.62600366341e-07
-11.7,1,8.60028103489e-06,3.71318492398e-06,1,8.60028103489e-06,3.71318492398e-06,0,0,0
-11.6,4,6.35796038750e-06,5.10018776367e-06,2,5.81864924243e-06,2.51221104008e-06,2,5.39311145076e-07,2.58797672359e-06
-11.5,4,9.97238501554e-06,6.24685731054e-06,2,9.52784648689e-06,4.11366318076e-06,2,4.44538528654e-07,2.13319412978e-06
-11.4,3,4.72866949508e-06,2.04161057127e-06,3,4.72866949508e-06,2.04161057127e-06,0,0,0
-11.2,3,4.73628219311e-07,2.27278599141e-06,0,0,0,3,4.73628219311e-07,2.27278599141e-06
-10.8,3,3.73430930267e-06,1.61229388596e-06,3,3.73430930267e-06,1.61229388596e-06,0,0,0
-10.7,9,.0000337865744768,.0000145874062127,9,.0000337865744768,.0000145874062127,0,0,0
-10.3,9,.000010618657825,6.04287893680e-06,6,.0000102847253061,4.44044653136e-06,3,3.33932518970e-07,1.60243240543e-06
-10.1,2,5.91352591073e-06,2.55317399933e-06,2,5.91352591073e-06,2.55317399933e-06,0,0,0
-10,3,.0000112329200874,4.84983092974e-06,3,.0000112329200874,4.84983092974e-06,0,0,0
